Id,Family,Genus,Subgenus,Species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
51,Apidae,Amegilla,(Zonamegilla),asserta,0.423157051,0.064287797,0.29582073,0.033058751,0.271711278,-0.094054964,0.171483491,-0.163803773,-0.138828006,-0.173891679,-0.108888204,-0.119163956,-0.133388076,-0.042735204,-0.433368946,-0.039771392,-0.417103944,0.039478569,-0.123758284,0.091994203,-0.063384237,0.136491418,0.087487686,0.133390562,0.132454728,0.095875897,0.036604733,0.038843773
52,Apidae,Amegilla,(Zonamegilla),asserta,0.42936083,0.064563466,0.29040951,0.029288343,0.267288527,-0.093374979,0.167342349,-0.160601982,-0.145274442,-0.178455417,-0.105814062,-0.121132793,-0.130972974,-0.039040413,-0.43729499,-0.040185121,-0.414317187,0.032097233,-0.116276477,0.09755211,-0.061364048,0.131856913,0.087789391,0.140501676,0.133215234,0.0986568,0.035908339,0.038274164
53,Apidae,Amegilla,(Zonamegilla),asserta,0.424722138,0.06147522,0.291545187,0.032368929,0.268270694,-0.086892448,0.174658577,-0.16686746,-0.147637956,-0.176171793,-0.107341275,-0.125272063,-0.123136694,-0.037831623,-0.435407588,-0.041861099,-0.41965186,0.039137875,-0.114317355,0.094305862,-0.06226652,0.135516726,0.084625059,0.138556356,0.128454434,0.097099889,0.037483158,0.036435628
54,Apidae,Amegilla,(Zonamegilla),asserta,0.437585009,0.065375584,0.285884378,0.037961104,0.266292648,-0.087268213,0.166755253,-0.165803784,-0.151414925,-0.180533636,-0.110086812,-0.13071301,-0.128767327,-0.046438531,-0.429436282,-0.038493714,-0.415254126,0.035153802,-0.105801492,0.101783691,-0.062920813,0.132748039,0.079672577,0.1394958,0.135226339,0.095841501,0.032265574,0.040891368
55,Apidae,Amegilla,(Zonamegilla),asserta,0.446164602,0.064888337,0.286321889,0.033151886,0.267468235,-0.094142558,0.168624983,-0.172398685,-0.138233739,-0.172593173,-0.096619132,-0.122986555,-0.121214848,-0.03684398,-0.430705871,-0.031707762,-0.417447346,0.03977953,-0.133787582,0.092483543,-0.065711577,0.132339947,0.080645291,0.141230788,0.130065959,0.093673886,0.024429138,0.033124796
56,Apidae,Amegilla,(Zonamegilla),asserta,0.424024115,0.057805964,0.286652078,0.033019463,0.266146068,-0.095299488,0.17715215,-0.160942922,-0.13888822,-0.182135177,-0.104882762,-0.12267902,-0.12709253,-0.040172239,-0.438199233,-0.039010188,-0.418727034,0.034566711,-0.117755643,0.094923164,-0.056987148,0.140119315,0.087681001,0.142412247,0.130343324,0.097023379,0.030533835,0.040368791
57,Apidae,Amegilla,(Zonamegilla),asserta,0.450573764,0.060486176,0.292165949,0.025655912,0.271126768,-0.090834104,0.16427819,-0.163856736,-0.132428944,-0.164010651,-0.11056612,-0.118610957,-0.124320386,-0.036344339,-0.426051636,-0.027232179,-0.42223856,0.027107079,-0.125185517,0.082280037,-0.072444693,0.134587306,0.074855074,0.138471324,0.128100391,0.09418766,0.032135722,0.038113472
58,Apidae,Amegilla,(Zonamegilla),asserta,0.432309617,0.071496358,0.304879636,0.035312633,0.271858657,-0.084157011,0.154883772,-0.158425324,-0.149014826,-0.181705423,-0.110790658,-0.130341066,-0.134512832,-0.039858191,-0.423958152,-0.019417045,-0.416355148,0.028904885,-0.117480054,0.089106712,-0.070156026,0.124419423,0.084636978,0.131043334,0.138570187,0.091093909,0.035128849,0.042526807
59,Apidae,Amegilla,(Zonamegilla),asserta,0.455754009,0.068269601,0.30602166,0.027584027,0.27345482,-0.083927847,0.153973922,-0.153592566,-0.147647142,-0.166407589,-0.107354499,-0.119594398,-0.129552726,-0.030500594,-0.42573377,-0.022823153,-0.411401678,0.022976561,-0.115360966,0.085493956,-0.080435062,0.123257595,0.074269552,0.129817128,0.133207023,0.085317785,0.020804857,0.034129495
60,Apidae,Amegilla,(Zonamegilla),asserta,0.44271375,0.072229548,0.28830421,0.033858051,0.264518113,-0.101371683,0.154542582,-0.168247845,-0.145727477,-0.175915692,-0.100454664,-0.121739601,-0.120151497,-0.03919231,-0.429975915,-0.042687921,-0.419703742,0.038148695,-0.112244844,0.096145938,-0.070364076,0.134738818,0.088726606,0.136937213,0.129822828,0.100789061,0.029994126,0.036307727
